Target age (ka),Site Name,Latitude,Longitude,New global consolidated biome scheme,Biome 6000 Consolidated Name,Biome 6000 biome code,MegaBiomes (Scheme 2),Remove_points
0,Rano Kao,-27.180,-109.430,tropical deciduous broadleaf forest and woodland,tropical deciduous broadleaf forest and woodland,29,tropical forest,0
0,…jamossen,59.080,14.980,cold evergreen needleleaf forest,cold evergreen needleleaf forest,12,boreal forest,0
0,…sbysjšn,59.400,18.070,cool mixed forest,cool mixed forest,23,temperate forest,0
0,…y-1,61.820,7.380,erect dwarf shrub tundra,erect dwarf shrub tundra,18,tundra,0
0,…ytjern,59.080,8.580,cool mixed forest,cool mixed forest,23,temperate forest,0
0,1.5 km from Yellapur,14.969,74.704,tropical evergreen broadleaf forest,tropical evergreen broadleaf forest,15,tropical forest,0
0,1.PMA,44.080,-91.350,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,10 Mile Lake,63.050,-145.420,low and high shrub tundra,low and high shrub tundra,5,tundra,0
0,10.PMA,44.880,-91.920,cool mixed forest,cool mixed forest,23,temperate forest,0
0,103PC16,46.000,-74.850,cool mixed forest,cool mixed forest,23,temperate forest,0
0,11.PMA,44.820,-91.800,cool mixed forest,cool mixed forest,23,temperate forest,0
0,113PC15,46.180,-74.480,cool mixed forest,cool mixed forest,23,temperate forest,0
0,114HOBBL,46.180,-76.350,cool mixed forest,cool mixed forest,23,temperate forest,0
0,116PC14,46.250,-74.570,cool mixed forest,cool mixed forest,23,temperate forest,0
0,117LACRO,46.270,-76.000,cool mixed forest,cool mixed forest,23,temperate forest,0
0,118BROCK,46.280,-76.330,cool mixed forest,cool mixed forest,23,temperate forest,0
0,121PC13,46.320,-74.530,cool mixed forest,cool mixed forest,23,temperate forest,0
0,15.PMA,45.180,-91.980,cool mixed forest,cool mixed forest,23,temperate forest,0
0,2.PMA,44.150,-91.730,cool mixed forest,cool mixed forest,23,temperate forest,0
